player,score
"['Hieu', 'NA_RL', 'M_Anh', 'NA_ifelse']","[0, 9, 9, 13]"
"['Hieu', 'PhongMinhAnh', 'NA_RL', 'M_Anh']","[0, 3, 7, 10]"
"['Hieu', 'NA_RL', 'M_Anh', 'random']","[0, 5, 8, 8]"
"['Phongcu', 'NA_RL', 'Hieu', 'M_Anh']","[0, 2, 3, 9]"
"['Hieu', 'NA_ifelse', 'PhongMinhAnh', 'NA_RL']","[0, 1, 2, 3]"
"['Hieu', 'NA_ifelse', 'random', 'NA_RL']","[0, 1, 2, 7]"
"['Phongcu', 'Hieu', 'NA_ifelse', 'NA_RL']","[0, 3, 4, 9]"
"['NA_RL', 'PhongMinhAnh', 'random', 'Hieu']","[0, 1, 3, 10]"
"['Hieu', 'PhongMinhAnh', 'Phongcu', 'NA_RL']","[0, 1, 2, 4]"
"['Phongcu', 'Hieu', 'NA_RL', 'random']","[0, 2, 6, 7]"
"['M_Anh', 'NA_RL', 'NA_ifelse', 'PhongMinhAnh']","[0, 3, 4, 5]"
"['NA_ifelse', 'M_Anh', 'NA_RL', 'random']","[0, 4, 8, 11]"
"['M_Anh', 'Phongcu', 'NA_ifelse', 'NA_RL']","[0, 1, 2, 9]"
"['M_Anh', 'NA_RL', 'PhongMinhAnh', 'random']","[0, 7, 8, 11]"
"['Phongcu', 'PhongMinhAnh', 'M_Anh', 'NA_RL']","[0, 1, 3, 8]"
"['Phongcu', 'M_Anh', 'random', 'NA_RL']","[0, 1, 4, 5]"
"['NA_ifelse', 'PhongMinhAnh', 'NA_RL', 'random']","[0, 1, 2, 3]"
"['Phongcu', 'NA_RL', 'PhongMinhAnh', 'NA_ifelse']","[0, 1, 1, 2]"
"['Phongcu', 'NA_ifelse', 'NA_RL', 'random']","[0, 2, 8, 9]"
"['Phongcu', 'PhongMinhAnh', 'NA_RL', 'random']","[0, 5, 7, 9]"
"['M_Anh', 'Hieu', 'PhongMinhAnh', 'NA_ifelse']","[0, 4, 4, 8]"
"['M_Anh', 'Hieu', 'NA_ifelse', 'random']","[0, 3, 7, 8]"
"['Phongcu', 'NA_ifelse', 'Hieu', 'M_Anh']","[0, 3, 4, 6]"
"['M_Anh', 'PhongMinhAnh', 'Hieu', 'random']","[0, 3, 6, 6]"
"['Hieu', 'M_Anh', 'Phongcu', 'PhongMinhAnh']","[0, 2, 2, 4]"
"['Hieu', 'M_Anh', 'Phongcu', 'random']","[0, 4, 5, 6]"
"['PhongMinhAnh', 'NA_ifelse', 'random', 'Hieu']","[0, 5, 9, 12]"
"['NA_ifelse', 'PhongMinhAnh', 'Hieu', 'Phongcu']","[0, 2, 4, 8]"
"['NA_ifelse', 'Hieu', 'Phongcu', 'random']","[0, 1, 3, 4]"
"['Hieu', 'PhongMinhAnh', 'Phongcu', 'random']","[0, 2, 2, 4]"
"['M_Anh', 'PhongMinhAnh', 'NA_ifelse', 'random']","[0, 5, 7, 9]"
"['NA_ifelse', 'M_Anh', 'PhongMinhAnh', 'Phongcu']","[0, 3, 4, 8]"
"['Phongcu', 'M_Anh', 'NA_ifelse', 'random']","[0, 1, 3, 5]"
"['M_Anh', 'PhongMinhAnh', 'Phongcu', 'random']","[0, 1, 3, 9]"
"['Phongcu', 'NA_ifelse', 'PhongMinhAnh', 'random']","[0, 6, 9, 10]"
